Tree,Level,Feature,Threshold,Value Distribution in Left Node,Value Distribution in Right Node,Gini Impurity in Left Node,Gini Impurity in Right Node,Current Impurity,Information Gain,Left Subtree,Right Subtree
1,0,MntGoldProds,16.5,"{'Class 0': 669, 'Class 1': 268}","{'Class 0': 856, 'Class 1': 1250}",0.408,0.482,0.5,0.041,Recency,Recency
1,1,Recency,19.5,"{'Class 0': 135, 'Class 1': 136}","{'Class 0': 534, 'Class 1': 132}",0.5,0.318,0.408,0.037,NumWebVisitsMonth,NumCatalogPurchases
1,1,Recency,40.5,"{'Class 0': 294, 'Class 1': 801}","{'Class 0': 562, 'Class 1': 449}",0.393,0.494,0.482,0.041,NumCatalogPurchases,Income
1,2,NumWebVisitsMonth,7.5,"{'Class 0': 114, 'Class 1': 62}","{'Class 0': 21, 'Class 1': 74}",0.456,0.344,0.5,0.083,NumCatalogPurchases,MntSweetProducts
1,2,NumCatalogPurchases,4.5,"{'Class 0': 496, 'Class 1': 93}","{'Class 0': 38, 'Class 1': 39}",0.266,0.5,0.318,0.025,NumStorePurchases,MntFruits
1,2,NumCatalogPurchases,0.5,"{'Class 0': 33, 'Class 1': 1}","{'Class 0': 261, 'Class 1': 800}",0.057,0.371,0.393,0.032,Recency,Income
1,2,Income,81862.0,"{'Class 0': 529, 'Class 1': 293}","{'Class 0': 33, 'Class 1': 156}",0.459,0.288,0.494,0.067,NumWebVisitsMonth,Year_Birth
1,3,NumCatalogPurchases,0.5,"{'Class 0': 57, 'Class 1': 4}","{'Class 0': 57, 'Class 1': 58}",0.123,0.5,0.456,0.087,MntSweetProducts,Year_Birth
1,3,MntSweetProducts,0.5,"{'Class 0': 10, 'Class 1': 4}","{'Class 0': 11, 'Class 1': 70}",0.408,0.235,0.344,0.084,MntGoldProds,Income
1,3,NumStorePurchases,2.5,"{'Class 0': 82, 'Class 1': 50}","{'Class 0': 414, 'Class 1': 43}",0.471,0.17,0.266,0.029,MntGoldProds,MntFruits
1,3,MntFruits,13.0,"{'Class 0': 7, 'Class 1': 25}","{'Class 0': 31, 'Class 1': 14}",0.342,0.429,0.5,0.107,Year_Birth,Recency
1,3,Recency,3.5,"{'Class 0': 0, 'Class 1': 1}","{'Class 0': 33, 'Class 1': 0}",0.0,0.0,0.057,0.057,1,0
1,3,Income,77936.5,"{'Class 0': 234, 'Class 1': 540}","{'Class 0': 27, 'Class 1': 260}",0.422,0.17,0.371,0.017,NumStorePurchases,MntGoldProds
1,3,NumWebVisitsMonth,5.5,"{'Class 0': 297, 'Class 1': 87}","{'Class 0': 232, 'Class 1': 206}",0.35,0.498,0.459,0.03,Recency,NumCatalogPurchases
1,3,Year_Birth,1952.5,"{'Class 0': 9, 'Class 1': 3}","{'Class 0': 24, 'Class 1': 153}",0.375,0.234,0.288,0.045,Recency,Recency
1,4,MntSweetProducts,12.0,"{'Class 0': 57, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 4}",0.0,0.0,0.123,0.123,0,1
1,4,Year_Birth,1981.0,"{'Class 0': 53, 'Class 1': 30}","{'Class 0': 4, 'Class 1': 28}",0.462,0.219,0.5,0.106,Income,NumWebVisitsMonth
1,4,MntGoldProds,0.5,"{'Class 0': 0, 'Class 1': 4}","{'Class 0': 10, 'Class 1': 0}",0.0,0.0,0.408,0.408,1,0
1,4,Income,10050.5,"{'Class 0': 2, 'Class 1': 0}","{'Class 0': 9, 'Class 1': 70}",0.0,0.202,0.235,0.038,0,Year_Birth
1,4,MntGoldProds,6.5,"{'Class 0': 41, 'Class 1': 0}","{'Class 0': 41, 'Class 1': 50}",0.0,0.495,0.471,0.13,0,Year_Birth
1,4,MntFruits,63.5,"{'Class 0': 414, 'Class 1': 35}","{'Class 0': 0, 'Class 1': 8}",0.144,0.0,0.17,0.029,Year_Birth,1
1,4,Year_Birth,1970.5,"{'Class 0': 6, 'Class 1': 8}","{'Class 0': 1, 'Class 1': 17}",0.49,0.105,0.342,0.068,Recency,Recency
1,4,Recency,39.5,"{'Class 0': 3, 'Class 1': 10}","{'Class 0': 28, 'Class 1': 4}",0.355,0.219,0.429,0.171,Recency,MntSweetProducts
1,4,NumStorePurchases,11.5,"{'Class 0': 198, 'Class 1': 535}","{'Class 0': 36, 'Class 1': 5}",0.394,0.214,0.422,0.038,NumWebVisitsMonth,NumCatalogPurchases
1,4,MntGoldProds,59.5,"{'Class 0': 21, 'Class 1': 83}","{'Class 0': 6, 'Class 1': 177}",0.322,0.063,0.17,0.013,MntGoldProds,NumStorePurchases
1,4,Recency,82.5,"{'Class 0': 206, 'Class 1': 86}","{'Class 0': 91, 'Class 1': 1}",0.416,0.022,0.35,0.029,MntFruits,MntSweetProducts
1,4,NumCatalogPurchases,4.5,"{'Class 0': 200, 'Class 1': 116}","{'Class 0': 32, 'Class 1': 90}",0.465,0.387,0.498,0.055,Recency,MntSweetProducts
1,4,Recency,75.0,"{'Class 0': 9, 'Class 1': 1}","{'Class 0': 0, 'Class 1': 2}",0.18,0.0,0.375,0.225,Recency,1
1,4,Recency,43.0,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 21, 'Class 1': 153}",0.0,0.212,0.234,0.026,0,MntGoldProds
1,5,Income,58037.5,"{'Class 0': 17, 'Class 1': 28}","{'Class 0': 36, 'Class 1': 2}",0.47,0.1,0.462,0.161,Recency,MntGoldProds
1,5,NumWebVisitsMonth,6.5,"{'Class 0': 0, 'Class 1': 25}","{'Class 0': 4, 'Class 1': 3}",0.0,0.49,0.219,0.112,1,Recency
1,5,Year_Birth,1985.0,"{'Class 0': 7, 'Class 1': 70}","{'Class 0': 2, 'Class 1': 0}",0.165,0.0,0.202,0.041,Year_Birth,0
1,5,Year_Birth,1968.5,"{'Class 0': 17, 'Class 1': 0}","{'Class 0': 24, 'Class 1': 50}",0.0,0.438,0.495,0.139,0,Recency
1,5,Year_Birth,1949.5,"{'Class 0': 12, 'Class 1': 12}","{'Class 0': 402, 'Class 1': 23}",0.5,0.102,0.144,0.021,NumWebVisitsMonth,MntFruits
1,5,Recency,51.0,"{'Class 0': 0, 'Class 1': 3}","{'Class 0': 6, 'Class 1': 5}",0.0,0.496,0.49,0.1,1,Recency
1,5,Recency,41.0,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 17}",0.0,0.0,0.105,0.105,0,1
1,5,Recency,28.5,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 10}",0.0,0.0,0.355,0.355,0,1
1,5,MntSweetProducts,7.0,"{'Class 0': 1, 'Class 1': 4}","{'Class 0': 27, 'Class 1': 0}",0.32,0.0,0.219,0.169,Recency,0
1,5,NumWebVisitsMonth,7.5,"{'Class 0': 171, 'Class 1': 339}","{'Class 0': 27, 'Class 1': 196}",0.446,0.213,0.394,0.019,Recency,Recency
1,5,NumCatalogPurchases,8.5,"{'Class 0': 36, 'Class 1': 2}","{'Class 0': 0, 'Class 1': 3}",0.1,0.0,0.214,0.121,MntGoldProds,1
1,5,MntGoldProds,52.5,"{'Class 0': 16, 'Class 1': 83}","{'Class 0': 5, 'Class 1': 0}",0.271,0.0,0.322,0.064,Income,0
1,5,NumStorePurchases,11.5,"{'Class 0': 3, 'Class 1': 164}","{'Class 0': 3, 'Class 1': 13}",0.035,0.305,0.063,0.005,MntSweetProducts,NumCatalogPurchases
1,5,MntFruits,73.5,"{'Class 0': 164, 'Class 1': 43}","{'Class 0': 42, 'Class 1': 43}",0.329,0.5,0.416,0.037,Income,Income
1,5,MntSweetProducts,133.5,"{'Class 0': 83, 'Class 1': 0}","{'Class 0': 8, 'Class 1': 1}",0.0,0.198,0.022,0.003,0,Income
1,5,Recency,81.5,"{'Class 0': 133, 'Class 1': 110}","{'Class 0': 67, 'Class 1': 6}",0.496,0.151,0.465,0.049,NumStorePurchases,MntSweetProducts
1,5,MntSweetProducts,43.0,"{'Class 0': 23, 'Class 1': 18}","{'Class 0': 9, 'Class 1': 72}",0.493,0.198,0.387,0.09,Year_Birth,MntSweetProducts
1,5,Recency,50.5,"{'Class 0': 0, 'Class 1': 1}","{'Class 0': 9, 'Class 1': 0}",0.0,0.0,0.18,0.18,1,0
1,5,MntGoldProds,36.5,"{'Class 0': 2, 'Class 1': 65}","{'Class 0': 19, 'Class 1': 88}",0.058,0.292,0.212,0.01,Recency,MntFruits
1,6,Recency,14.0,"{'Class 0': 8, 'Class 1': 28}","{'Class 0': 9, 'Class 1': 0}",0.346,0.0,0.47,0.193,MntGoldProds,0
1,6,MntGoldProds,15.5,"{'Class 0': 35, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 2}",0.0,0.444,0.1,0.065,0,Recency
1,6,Recency,7.0,"{'Class 0': 4, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 3}",0.0,0.0,0.49,0.49,0,1
1,6,Year_Birth,1959.5,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 6, 'Class 1': 70}",0.0,0.145,0.165,0.022,0,MntSweetProducts
1,6,Recency,69.5,"{'Class 0': 14, 'Class 1': 50}","{'Class 0': 10, 'Class 1': 0}",0.342,0.0,0.438,0.142,MntFruits,0
1,6,NumWebVisitsMonth,7.5,"{'Class 0': 12, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 12}",0.0,0.0,0.5,0.5,0,1
1,6,MntFruits,25.5,"{'Class 0': 383, 'Class 1': 13}","{'Class 0': 19, 'Class 1': 10}",0.064,0.452,0.102,0.012,NumCatalogPurchases,MntGoldProds
1,6,Recency,80.5,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 3, 'Class 1': 5}",0.0,0.469,0.496,0.155,0,1
1,6,Recency,80.5,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 4}",0.0,0.0,0.32,0.32,0,1
