Recency,Income,MntGoldProds,NumCatalogPurchases,NumWebVisitsMonth,MntFruits,NumStorePurchases,MntSweetProducts,Year_Birth,Response
0,84835,218,4,1,104,6,189,1970,1
0,57091,37,3,5,5,7,0,1961,1
0,67267,30,2,2,11,5,2,1958,0
0,32474,0,0,7,0,2,0,1967,0
0,21474,34,1,7,16,2,0,1989,1
0,71691,43,7,2,130,5,32,1958,1
0,63564,65,10,6,80,7,34,1954,1
0,44931,7,1,5,0,3,0,1967,0
0,65324,5,2,4,0,9,32,1954,0
0,65324,5,2,4,0,9,32,1954,0
0,81044,26,6,1,26,10,98,1947,0
0,62499,4,1,4,4,6,13,1979,0
0,67786,102,6,1,82,6,20,1959,1
0,26872,32,1,6,10,2,16,1981,0
0,4428,321,0,1,4,0,4,1969,0
0,54809,22,1,4,6,5,13,1977,0
0,54809,22,1,4,6,5,13,1977,1
0,32173,2,0,4,0,3,0,1958,0
0,47823,10,0,8,1,3,1,1960,0
0,30523,5,0,7,0,2,0,1958,0
0,36634,30,2,7,9,5,3,1954,0
0,43456,7,1,5,11,8,7,1966,0
0,40662,23,1,4,2,3,4,1979,0
0,49544,23,1,7,0,8,0,1976,0
0,57731,44,8,6,21,6,8,1969,0
0,33168,3,1,7,1,4,1,1965,0
0,54450,32,2,8,0,8,19,1956,0
0,54450,32,2,8,0,8,19,1956,0
1,35340,5,0,5,0,3,1,1956,0
1,73170,32,4,2,174,6,30,1975,0
1,65808,10,1,6,7,5,7,1971,0
1,79529,197,8,2,42,9,197,1986,0
1,34578,0,0,6,0,2,0,1972,0
1,46374,17,1,8,0,7,0,1974,1
1,18351,7,0,7,12,3,14,1990,0
1,95169,20,3,1,21,4,20,1987,1
1,65370,29,3,1,22,13,89,1984,0
1,39228,3,0,4,1,3,3,1960,0
1,84865,16,4,4,16,9,16,1961,1
1,61314,172,5,3,0,12,172,1968,0
1,21359,10,0,8,2,3,1,1972,1
1,66465,14,9,6,0,12,29,1955,0
1,81698,45,2,5,45,5,160,1983,1
1,39146,12,0,8,1,4,12,1986,0
1,25959,26,2,6,2,2,5,1970,1
1,64260,30,5,3,169,4,0,1961,1
1,32300,6,0,8,3,3,5,1973,0
1,74806,9,4,4,9,5,28,1965,0
1,72967,125,2,5,35,8,0,1970,1
1,48904,27,2,8,10,4,13,1960,0
1,14796,16,0,9,3,3,4,1984,1
1,66991,12,8,3,36,6,60,1954,0
2,52195,1,0,8,0,2,0,1978,0
2,90369,17,6,1,51,6,23,1956,1
2,18393,4,0,8,10,3,0,1974,0
2,47139,23,1,7,0,2,2,1952,1
2,38576,0,0,7,0,3,0,1973,0
2,61905,13,2,5,0,4,2,1975,0
2,83715,8,8,0,8,13,35,1962,0
2,60597,66,2,7,0,8,16,1964,1
2,6560,262,0,17,11,1,3,1982,0
2,48330,0,0,5,0,3,0,1961,0
2,38236,10,0,7,0,4,0,1968,0
2,22701,5,0,5,4,3,4,1977,0
2,53367,11,1,7,7,8,3,1974,1
2,34728,6,1,6,0,2,0,1986,1
2,63915,15,3,5,7,12,0,1956,0
2,82504,54,6,1,50,7,35,1960,0
2,38578,3,0,8,4,3,3,1972,1
2,38578,3,0,8,4,3,3,1972,0
2,79174,129,6,2,37,7,92,1975,1
2,81975,27,3,7,76,4,138,1962,0
2,43263,102,2,5,6,6,10,1977,0
2,27242,39,0,9,17,3,1,1970,1
2,76445,35,5,6,107,13,80,1971,0
2,75276,21,4,5,105,9,42,1965,0
2,34213,26,1,9,4,2,3,1963,1
2,72335,0,4,8,105,8,21,1976,1
2,79143,32,9,3,37,13,167,1964,0
2,27469,0,0,6,1,3,2,1947,0
3,68695,40,4,2,81,7,50,1969,0
3,68695,40,4,2,81,7,50,1969,0
3,50388,34,1,7,6,6,3,1957,1
3,77622,14,3,3,7,11,0,1970,0
3,46102,1,0,7,0,2,0,1962,0
3,31859,11,0,7,4,3,8,1980,0
3,23830,16,0,7,8,3,8,1987,0
3,24639,1,0,6,3,4,4,1973,0
